None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
152,SAVE,ART,2016-12-31,2017-02-13,2016-12-31,2020-02-06,-1345000,3151927000,3018750000.0,975845000,2176082000,0.769,20.114,-715019000,700900000,700900000,899494000,264879000,1.834,1.26,981713000,84354000,897359000,981713000,0,101136000,0,0.0,0.0,461114000,562250000,0.242,562250000,461114000,419460000,3.77,3.76,3.77,1394607000,1329062000.0,1394607000,4049940682,9,7.203,-241341000,-3.481,1.0,1422462000,0.613,0,41654000,2900790000,2484347250.0,0,100155000,100155000,0,1757320000,531950000,1225370000,3769127682,-102732000,0,-102418000,352747000,0,249859000,-826269000,-100416000,473678000,0,264879000,264879000,264879000,0,0,0.114,978801000,443661000,15193000,0.0,2.703,14.23,14.419,1465222000,0,54.36,1.623,1.623,41136000,1063633000,2321956000,2321956000,0,0.088,0.199,0.186,0.199,7105000,836289000,1.0,69336418,69336418,,33.488,3151927000,0,154581000,308143000,45.458,443895000
153,SAVE,ART,2016-09-30,2016-10-25,2016-09-30,2020-02-06,-1394000,3129625000,2863404500.0,1103499000,2026126000,0.79,19.396,-708331000,825904000,825904000,866997000,290786000,1.933,1.328,979252000,84443000,894809000,979252000,0,95648000,0,0.0,0.0,496687000,592335000,0.262,592335000,496687000,459899000,4.11,4.1,4.11,1344556000,1286737750.0,1344556000,3526580655,7,5.954,-161587000,-2.331,1.0,1396454000,0.617,0,36788000,2712052000,2235900500.0,0,100083000,100083000,0,1785069000,570921000,1214148000,3373232655,77008000,0,-102397000,458724000,0,355862000,-825598000,-100076000,546744000,0,290786000,290786000,290786000,0,0,0.128,917767000,478687000,29906000,0.0,2.509,11.6,11.839,1390108000,0,48.66,1.49,1.49,35892000,1015140000,2263451000,2263451000,0,0.102,0.226,0.222,0.219,7726000,789040000,1.0,69322496,69322496,,32.651,3129625000,6060000,169113000,299231000,45.146,532578000
154,SAVE,ART,2016-06-30,2016-07-29,2016-06-30,2020-02-06,-1455000,3030200000,2650228750.0,1183779000,1846421000,0.837,18.556,-675886000,1014080000,1014080000,851472000,306518000,1.948,1.332,915014000,78596000,836418000,915014000,0,89972000,0,0.0,0.0,517678000,607650000,0.274,607650000,517678000,486301000,4.29,4.28,4.29,1299317000,1237767000.0,1299317000,2894328287,6,4.763,-138951000,-1.984,1.0,1365491000,0.616,0,31377000,2323589000,1957649500.0,0,0,0,0,1730883000,607545000,1123338000,2993394287,244756000,0,-95023000,493608000,0,398420000,-690599000,0,536935000,0,306518000,306518000,306518000,0,0,0.138,864801000,500690000,27728000,0.0,2.304,9.766,9.965,1238628000,0,42.75,1.35,1.35,40650000,933758000,2216963000,2216963000,0,0.116,0.248,0.264,0.234,8384000,749314000,1.0,70020919,70020919,,31.661,3030200000,2835000,179783000,267379000,43.276,576234000
155,SAVE,ART,2016-03-31,2016-04-26,2016-03-31,2020-02-06,-1511000,2763248000,2419013000.0,1069314000,1693934000,0.904,17.944,-666313000,902809000,902809000,863514000,310138000,1.884,1.163,708115000,53012000,655103000,708115000,0,82154000,0,0.0,0.0,517059000,599213000,0.274,599213000,517059000,491429000,4.32,4.3,4.32,1277768000,1183507750.0,1277768000,3182672508,6,5.311,-103064000,-1.447,1.0,1322737000,0.605,0,25630000,2000958000,1685545500.0,0,0,0,0,1485480000,567596000,917884000,3377366508,161182000,0,-110814000,387599000,0,276980000,-679047000,0,563249000,0,310138000,310138000,310138000,0,0,0.142,821567000,501170000,23017000,0.0,2.643,10.89,10.979,1048907000,0,47.43,1.545,1.545,32469000,860674000,2186251000,2186251000,0,0.128,0.262,0.307,0.237,9027000,721740000,1.0,71207390,71207390,,30.703,2763248000,0,181291000,242602000,38.806,501718000
156,SAVE,ART,2015-12-31,2016-02-17,2015-12-31,2020-02-06,-1546000,2530545000,2217165000.0,1026340000,1504205000,0.966,17.126,-691123000,803632000,803632000,884503000,317220000,2.201,1.065,646330000,49637000,596693000,646330000,0,73908000,0,0.0,0.0,522785000,596693000,0.279,596693000,522785000,502403000,4.39,4.38,4.39,1225310000,1131420000.0,1225310000,3190366923,6,5.347,-218138000,-3.049,1.0,1256960000,0.587,0,20382000,1907003000,1448535000.0,0,0,0,0,1305235000,466240000,838995000,3347668923,170848000,0,-112229000,502524000,0,399145000,-701282000,0,472985000,0,317220000,317220000,317220000,0,0,0.148,747838000,509122000,17043000,0.0,2.732,10.553,10.658,844217000,0,46.79,1.563,1.563,28266000,798754000,2141463000,2141463000,0,0.143,0.28,0.361,0.244,9222000,671653000,1.0,71546675,71546675,,29.931,2530545000,72278000,185183000,221481000,35.369,560100000
157,SAVE,ART,2015-09-30,2015-10-27,2015-09-30,2020-02-06,-1627000,2276922000,1985274000.0,918572000,1358350000,1.056,16.056,-699612000,748896000,748896000,910322000,298729000,1.967,0.982,537905000,37758000,500147000,537905000,0,64798000,0,0.0,0.0,488126000,552924000,0.264,552924000,488126000,473285000,4.12,4.11,4.12,1148673000,1075861250.0,1148673000,2268572576,5,4.103,-279113000,-3.902,1.0,1185782000,0.566,0,14841000,1599048000,1159489500.0,0,0,0,0,1128249000,466883000,661366000,2479563576,160422000,0,-112225000,542761000,0,439535000,-699612000,0,420499000,0,298729000,298729000,298729000,0,0,0.143,707022000,478760000,15823000,0.0,2.159,8.3,8.413,710218000,0,34.66,1.183,1.183,33094000,724354000,2096104000,2096104000,0,0.15,0.278,0.421,0.233,9481000,638901000,1.0,71539630,71539630,,29.3,2276922000,9643000,174556000,139459000,31.827,451689000
158,SAVE,ART,2015-06-30,2015-07-24,2015-06-30,2020-02-06,-1074000,2105337000,1769432000.0,871911000,1233426000,1.153,14.844,-580066000,769324000,769324000,953798000,268615000,1.647,0.945,428651000,29676000,398975000,428651000,0,56508000,0,0.0,0.0,428882000,485390000,0.238,485390000,428882000,419114000,3.69,3.67,3.69,1082280000,1025021750.0,1082280000,4058099091,9,8.36,-166818000,-2.288,1.0,1087234000,0.533,0,9768000,1235173000,867293250.0,0,0,0,0,1023057000,529491000,493566000,4398772091,202085000,0,-79689000,439442000,0,368903000,-580066000,0,413248000,0,268615000,268615000,268615000,0,0,0.132,665502000,421732000,21751000,0.0,4.064,16.376,16.35,568588000,0,60.33,2.155,2.155,30856000,627240000,2041032000,2041032000,0,0.152,0.262,0.495,0.21,9668000,605074000,1.0,72911853,72911853,,27.993,2105337000,9643000,150499000,76378000,28.875,342420000
159,SAVE,ART,2015-03-31,2015-04-29,2015-03-31,2020-02-06,-2312000,1955856000,1580560250.0,856073000,1099783000,1.257,14.652,-460081000,741627000,741627000,966239000,256760000,1.76,0.829,324984000,22184000,302800000,324984000,0,50713000,0,0.0,0.0,407496000,458209000,0.231,458209000,407496000,402044000,3.52,3.5,3.52,1069417000,973354500.0,1069417000,4740601603,12,10.346,-122373000,-1.677,1.0,1020709000,0.514,0,5452000,1052916000,654018250.0,0,0,0,0,886439000,486297000,400142000,5157244603,197638000,0,-11802000,328296000,0,320011000,-460081000,0,337708000,0,256760000,256760000,256760000,0,0,0.129,616148000,404561000,13835000,0.0,4.822,20.086,20.074,442005000,0,70.66,2.596,2.596,28097000,550536000,1986948000,1986948000,0,0.162,0.264,0.623,0.205,8235000,561522000,1.0,72986762,72986762,,27.223,1955856000,9643000,145284000,69510000,26.797,369776000
160,SAVE,ARQ,2019-12-31,2020-02-05,2019-12-31,2020-02-06,-787000,7043412000,,1385443000,5657969000,,33.034,-11288000,978957000,978957000,399172000,81214000,1.246,2.115,3557981000,379514000,3178467000,3557981000,0,61913000,0,0.0,0.0,132738000,194651000,0.201,194651000,132738000,106763000,1.19,1.18,1.19,2261332000,,2261332000,5621164689,10,7.367,39536000,0.578,1.0,570644000,0.588,0,25975000,8510392000,,0,105321000,105321000,0,4782080000,1112044000,3670036000,3042140689,43279000,0,-83000,7082000,0,7228000,-14773000,-418000,50824000,0,81214000,81214000,81214000,0,0,0.084,446020000,124624000,43601000,0.0,1.345,9.074,9.069,4899857000,0,44.44,0.794,0.794,73807000,1955187000,969816000,969816000,0,,,,,26000,382913000,1.0,68455011,68455011,,14.167,7043412000,21013000,25549000,469292000,102.891,273399000
161,SAVE,ARQ,2019-09-30,2019-10-23,2019-09-30,2020-02-06,-875000,6575214000,,1403282000,5171932000,,31.85,-58424000,935678000,935678000,399167000,83464000,1.333,2.016,3196836000,311958000,2884878000,3196836000,0,57712000,0,0.0,0.0,134151000,191863000,0.193,191863000,134151000,109013000,1.22,1.22,1.22,2180087000,,2180087000,4845086346,9,6.369,-41051000,-0.6,1.0,592801000,0.598,0,25138000,7783596000,,0,104792000,104792000,0,4395127000,1052776000,3342351000,2583928346,-175119000,0,-108000,-133941000,0,-130895000,-61597000,-402000,17373000,0,83464000,83464000,83464000,0,0,0.084,468120000,124681000,41915000,0.0,1.185,7.468,7.475,4393398000,0,37.75,0.694,0.694,71372000,1873973000,991968000,991968000,0,,,,,1715000,396998000,1.0,68448433,68448433,,14.492,6575214000,21693000,25549000,446940000,96.061,350506000
162,SAVE,ARQ,2019-06-30,2019-07-24,2019-06-30,2020-02-06,-864000,6662781000,,1520687000,5142094000,,30.611,-131479000,1110797000,1110797000,410927000,114501000,1.256,2.18,3325755000,385284000,2940471000,3325755000,0,54913000,0,0.0,0.0,173835000,228748000,0.226,228748000,173835000,148569000,1.67,1.67,1.67,2095027000,,2095027000,5982627123,11,7.839,4394000,0.064,1.0,602029000,0.594,0,25266000,7666576000,,0,104228000,104228000,0,4567754000,1211163000,3356591000,3767669123,-11342000,0,-24000,-14656000,0,-12707000,-134508000,-369000,135873000,0,114501000,114501000,114501000,0,0,0.113,438091000,163938000,43848000,0.0,1.798,10.466,10.466,4420012000,0,55.05,1.036,1.036,78125000,1790509000,1012956000,1012956000,0,,,,,2742000,381628000,1.0,68440856,68440856,,14.8,6662781000,0,34068000,399765000,97.351,309524000
163,SAVE,ARQ,2019-03-31,2019-04-24,2019-03-31,2020-02-06,-1016000,6423939000,,1516760000,4907179000,,28.897,-101284000,1122139000,1122139000,366671000,56076000,1.346,2.248,3236226000,301551000,2934675000,3236226000,0,50726000,0,0.0,0.0,97052000,147778000,0.173,147778000,97052000,72081000,0.82,0.82,0.82,1977656000,,1977656000,6104068166,14,9.914,103867000,1.518,1.0,489125000,0.572,0,24971000,7411357000,,0,103491000,103491000,0,4446283000,1126669000,3319614000,3989981166,117406000,0,-5223000,21167000,0,16206000,-103951000,-391000,205151000,0,56076000,56076000,56076000,0,0,0.066,401321000,87804000,26713000,0.0,2.018,15.541,15.547,4201054000,0,58.3,1.148,1.148,70946000,1676008000,855796000,855796000,0,,,,,3671000,348682000,1.0,68438785,68438785,,12.505,6423939000,0,16005000,366854000,93.864,390091000
164,SAVE,ARQ,2018-12-31,2019-02-13,2018-12-31,2020-02-06,-1193000,5165457000,,1345466000,3819991000,,28.224,-230113000,1004733000,1004733000,354543000,91937000,1.612,1.678,2188331000,163557000,2024774000,2188331000,0,47963000,0,0.0,0.0,144407000,192370000,0.223,192370000,144407000,120902000,1.34,1.35,1.34,1928504000,,1928504000,5346882569,19,11.487,-32148000,-0.47,1.0,508252000,0.589,0,23505000,5514520000,,0,102789000,102789000,0,3236953000,834535000,2402418000,4163284569,231023000,0,29000,265643000,0,266173000,-233115000,-389000,197965000,0,91937000,91937000,91937000,0,0,0.107,372187000,136065000,39320000,0.0,2.159,26.731,26.724,3116012000,0,60.93,1.253,1.253,47660000,1625481000,862795000,862795000,0,,,,,2728000,320940000,1.0,68328977,68328977,,12.627,5165457000,0,28965000,355141000,75.597,510931000
165,SAVE,ARQ,2018-09-30,2018-10-24,2018-09-30,2020-02-06,-1222000,4781731000,,1206107000,3575624000,,26.863,-137449000,773710000,773710000,393820000,97480000,1.462,1.608,1921766000,150862000,1770904000,1921766000,0,43773000,0,0.0,0.0,150512000,194285000,0.215,194285000,150512000,128587000,1.43,1.42,1.43,1833782000,,1833782000,4403590625,18,10.776,-79939000,-1.171,1.0,510510000,0.565,0,21925000,5104966000,,0,102201000,102201000,0,2947949000,824821000,2123128000,3255534625,-38652000,0,-156000,43752000,0,43596000,-139758000,-371000,57510000,0,97480000,97480000,97480000,0,0,0.108,365385000,145125000,63190000,0.0,1.775,10.363,10.458,2906080000,0,47.69,1.041,1.041,63526000,1533545000,904330000,904330000,0,,,,,2912000,321229000,1.0,68264513,68264513,,13.247,4781731000,78506000,31107000,332119000,70.047,381286000
166,SAVE,ARQ,2018-06-30,2018-07-26,2018-06-30,2020-02-06,-1266000,4681725000,,1230335000,3451390000,,25.398,-127133000,812362000,812362000,378180000,11254000,1.367,1.701,1877631000,145865000,1731766000,1877631000,0,45618000,0,0.0,0.0,35647000,81265000,0.095,81265000,35647000,15149000,0.16,0.16,0.16,1733501000,,1733501000,3989886097,20,11.052,-47280000,-0.693,1.0,473591000,0.556,0,20498000,4846767000,,0,101714000,101714000,0,2948224000,900227000,2047997000,2924617097,-86095000,0,-27000,-35736000,0,-35763000,-130185000,-374000,79853000,0,11254000,11254000,11254000,0,0,0.013,365070000,108521000,50310000,0.0,1.687,10.564,10.713,2818103000,0,42.85,1.005,1.005,58547000,1436064000,851771000,851771000,0,,,,,2306000,314634000,1.0,68252441,68252441,,12.48,4681725000,70672000,3895000,295601000,68.594,330108000
167,SAVE,ARQ,2018-03-31,2018-04-26,2018-03-31,2020-02-06,-1429000,4654431000,,1298841000,3355590000,,25.198,-278801000,898457000,898457000,334177000,-44922000,1.24,1.706,1851207000,280281000,1570926000,1851207000,0,39373000,0,0.0,0.0,-41813000,-2440000,-0.003,-2440000,-41813000,-59662000,-0.66,-0.66,-0.66,1719805000,,1719805000,3368823541,11,7.439,-107666000,-1.578,1.0,369961000,0.525,0,17849000,4559855000,,0,101254000,101254000,0,2934626000,1047326000,1887300000,2416073541,97608000,0,-957000,208080000,0,207123000,-280650000,-349000,171135000,0,-44922000,-44922000,-44922000,0,0,-0.064,408758000,-38797000,31674000,0.0,1.405,7.029,7.123,2779297000,0,35.4,0.875,0.875,52313000,1424810000,704138000,704138000,0,,,,,3075000,279369000,1.0,68250665,68250665,,10.317,4654431000,69844000,-14740000,292888000,68.196,251515000
168,SAVE,ARQ,2017-12-31,2018-02-13,2017-12-31,2020-02-06,-1464000,4143950000,,1280260000,2863690000,,26.052,-228595000,800849000,800849000,293108000,250338000,1.979,1.332,1502928000,115430000,1387498000,1502928000,0,36472000,0,0.0,0.0,99059000,135531000,0.203,135531000,99059000,82994000,3.63,3.61,3.63,1777081000,,1777081000,3368526343,8,6.112,-189827000,-2.783,1.0,373899000,0.561,0,16065000,4199003000,,0,100937000,100937000,0,2366869000,647026000,1719843000,2666447343,-62831000,0,-45342000,176959000,0,131617000,-233216000,-370000,38768000,0,250338000,250338000,250338000,0,0,0.375,281353000,92546000,22822000,0.0,1.5,6.34,6.429,2238468000,0,39.09,1.007,1.007,49323000,1484239000,667007000,667007000,0,,,,,1799000,243827000,1.0,68213030,68213030,,9.778,4143950000,69844000,-167344000,313140000,60.75,633234000
169,SAVE,ARQ,2017-09-30,2017-10-26,2017-09-30,2020-02-06,-1214000,3870942000,,1244740000,2626202000,,22.639,-200887000,863680000,863680000,286370000,60190000,1.877,1.465,1320096000,105958000,1214138000,1320096000,0,36840000,0,0.0,0.0,109798000,146638000,0.213,146638000,109798000,94780000,0.87,0.87,0.87,1570536000,,1570536000,2959399396,7,5.551,-138145000,-1.991,1.0,400861000,0.583,0,15018000,3664374000,,0,100732000,100732000,0,2300406000,662984000,1637422000,2502983396,-5473000,0,-5000,134724000,0,134719000,-202934000,-368000,62742000,0,60190000,60190000,60190000,0,0,0.088,296757000,104104000,30961000,0.0,1.594,11.442,11.382,1983147000,0,36.08,0.978,0.978,46235000,1233901000,687231000,687231000,0,,,,,2052000,251548000,1.0,69373154,69373154,,9.906,3870942000,0,34590000,406080000,55.799,581756000
170,SAVE,ARQ,2017-06-30,2017-07-27,2017-06-30,2020-02-06,-1280000,3674345000,,1230504000,2443841000,,21.742,-191859000,869153000,869153000,269437000,78143000,1.794,1.436,1184587000,95428000,1089159000,1184587000,0,35331000,0,0.0,0.0,137802000,173133000,0.247,173133000,137802000,124056000,1.13,1.12,1.13,1508233000,,1508233000,3095051633,7,5.616,-42291000,-0.61,1.0,432245000,0.616,0,13746000,3303949000,,0,100464000,100464000,0,2166112000,685830000,1480282000,2779617633,51043000,0,-154000,98547000,0,98393000,-196918000,-331000,149568000,0,78143000,78143000,78143000,0,0,0.111,299509000,132736000,33186000,0.0,1.843,11.584,11.548,1789510000,0,40.07,1.115,1.115,47996000,1173711000,701682000,701682000,0,,,,,1855000,262685000,1.0,69369045,69369045,,10.115,3674345000,0,45913000,372998000,52.968,544674000
171,SAVE,ARQ,2017-03-31,2017-04-28,2017-03-31,2020-02-06,-1323000,3438614000,,1146531000,2292083000,,20.59,-157017000,818110000,818110000,263612000,31935000,1.703,1.407,1084394000,92672000,991722000,1084394000,0,31509000,0,0.0,0.0,64295000,95804000,0.162,95804000,64295000,51822000,0.46,0.46,0.46,1428346000,,1428346000,4239081565,10,8.016,17145000,0.247,1.0,328134000,0.555,0,12473000,3031724000,,0,100294000,100294000,0,2010268000,673174000,1337094000,3972797565,117210000,0,-1034000,103017000,0,101983000,-158935000,-271000,174162000,0,31935000,31935000,31935000,0,0,0.054,268729000,59405000,39612000,0.0,2.781,16.913,16.994,1604550000,0,57.27,1.672,1.672,48692000,1095568000,591746000,591746000,0,,,,,2816000,231339000,1.0,69369610,69369610,,8.53,3438614000,0,19887000,327660000,49.569,473357000
172,SAVE,ARQ,2016-12-31,2017-02-13,2016-12-31,2020-02-06,-1345000,3151927000,,975845000,2176082000,,20.114,-158354000,700900000,700900000,240937000,48493000,1.834,1.26,981713000,84354000,897359000,981713000,0,27766000,0,0.0,0.0,89773000,117539000,0.203,117539000,89773000,77707000,0.71,0.71,0.71,1394607000,,1394607000,4049940682,9,7.203,-124717000,-1.799,1.0,337414000,0.583,0,12066000,2900790000,,0,100155000,100155000,0,1757320000,531950000,1225370000,3769127682,-125004000,0,-120000,3948000,0,3855000,-162496000,-340000,33637000,0,48493000,48493000,48493000,0,0,0.084,252103000,85311000,15193000,0.0,2.703,14.23,14.419,1465222000,0,54.36,1.623,1.623,41136000,1063633000,578351000,578351000,0,,,,,1602000,215736000,1.0,69336418,69336418,,8.341,3151927000,0,29214000,308143000,45.458,443895000
173,SAVE,ARQ,2016-09-30,2016-10-25,2016-09-30,2020-02-06,-1394000,3129625000,,1103499000,2026126000,,19.396,-192768000,825904000,825904000,240999000,81382000,1.933,1.328,979252000,84443000,894809000,979252000,0,25304000,0,0.0,0.0,139325000,164629000,0.265,164629000,139325000,127963000,1.17,1.17,1.17,1344556000,,1344556000,3526580655,7,5.954,-113548000,-1.638,1.0,380330000,0.612,0,11362000,2712052000,,0,100083000,100083000,0,1785069000,570921000,1214148000,3373232655,-188176000,0,-40112000,68024000,0,27926000,-295322000,-100076000,79220000,0,81382000,81382000,81382000,0,0,0.131,245114000,135216000,29906000,0.0,2.509,11.6,11.839,1390108000,0,48.66,1.49,1.49,35892000,1015140000,621329000,621329000,0,,,,,1598000,212032000,1.0,69322496,69322496,,8.963,3129625000,6060000,46581000,299231000,45.146,532578000
174,SAVE,ARQ,2016-06-30,2016-07-29,2016-06-30,2020-02-06,-1455000,3030200000,,1183779000,1846421000,,18.556,-153710000,1014080000,1014080000,223627000,73084000,1.948,1.332,915014000,78596000,836418000,915014000,0,24957000,0,0.0,0.0,125896000,150853000,0.258,150853000,125896000,115730000,1.03,1.03,1.03,1299317000,,1299317000,2894328287,6,4.763,-50988000,-0.728,1.0,360506000,0.617,0,10166000,2323589000,,0,0,0,0,1730883000,607545000,1123338000,2993394287,111271000,0,-52673000,216644000,0,164238000,-155689000,0,102722000,0,73084000,73084000,73084000,0,0,0.125,238671000,121835000,27728000,0.0,2.304,9.766,9.965,1238628000,0,42.75,1.35,1.35,40650000,933758000,584133000,584133000,0,,,,,2115000,205133000,1.0,70020919,70020919,,8.342,3030200000,2835000,42646000,267379000,43.276,576234000
175,SAVE,ARQ,2016-03-31,2016-04-26,2016-03-31,2020-02-06,-1511000,2763248000,,1069314000,1693934000,,17.944,-210187000,902809000,902809000,193931000,61920000,1.884,1.163,708115000,53012000,655103000,708115000,0,23109000,0,0.0,0.0,106120000,129229000,0.24,129229000,106120000,98060000,0.87,0.86,0.87,1277768000,,1277768000,3182672508,6,5.311,47912000,0.673,1.0,344212000,0.64,0,8060000,2000958000,,0,0,0,0,1485480000,567596000,917884000,3377366508,99177000,0,-9513000,64131000,0,53840000,-212762000,0,258099000,0,61920000,61920000,61920000,0,0,0.115,242913000,101299000,23017000,0.0,2.643,10.89,10.979,1048907000,0,47.43,1.545,1.545,32469000,860674000,538143000,538143000,0,,,,,1790000,203388000,1.0,71207390,71207390,,7.557,2763248000,0,36140000,242602000,38.806,501718000
176,SAVE,ARQ,2015-12-31,2016-02-17,2015-12-31,2020-02-06,-1546000,2530545000,,1026340000,1504205000,,17.126,-151666000,803632000,803632000,208440000,74400000,2.201,1.065,646330000,49637000,596693000,646330000,0,22278000,0,0.0,0.0,125346000,147624000,0.284,147624000,125346000,118146000,1.04,1.04,1.04,1225310000,,1225310000,3190366923,6,5.347,-44963000,-0.628,1.0,311406000,0.599,0,7200000,1907003000,,0,0,0,0,1305235000,466240000,838995000,3347668923,54736000,0,-99000,109925000,0,109858000,-161825000,0,106703000,0,74400000,74400000,74400000,0,0,0.143,191069000,120337000,17043000,0.0,2.732,10.553,10.658,844217000,0,46.79,1.563,1.563,28266000,798754000,519846000,519846000,0,,,,,2223000,168487000,1.0,71546675,71546675,,7.266,2530545000,72278000,43746000,221481000,35.369,560100000
177,SAVE,ARQ,2015-09-30,2015-10-27,2015-09-30,2020-02-06,-1627000,2276922000,,918572000,1358350000,,16.056,-160323000,748896000,748896000,225474000,97114000,1.967,0.982,537905000,37758000,500147000,537905000,0,19628000,0,0.0,0.0,160316000,179944000,0.313,179944000,160316000,154365000,1.35,1.35,1.35,1148673000,,1148673000,2268572576,5,4.103,-90912000,-1.271,1.0,349367000,0.608,0,5951000,1599048000,,0,0,0,0,1128249000,466883000,661366000,2479563576,-20428000,0,-32738000,102908000,0,70484000,-160323000,0,69411000,0,97114000,97114000,97114000,0,0,0.169,192148000,157219000,15823000,0.0,2.159,8.3,8.413,710218000,0,34.66,1.183,1.183,33094000,724354000,574841000,574841000,0,,,,,2256000,172306000,1.0,71539630,71539630,,8.035,2276922000,9643000,57251000,139459000,31.827,451689000
178,SAVE,ARQ,2015-06-30,2015-07-24,2015-06-30,2020-02-06,-1074000,2105337000,,871911000,1233426000,,14.844,-144137000,769324000,769324000,235669000,76704000,1.647,0.945,428651000,29676000,398975000,428651000,0,17139000,0,0.0,0.0,125277000,142416000,0.257,142416000,125277000,120858000,1.06,1.05,1.06,1082280000,,1082280000,4058099091,9,8.36,-15101000,-0.207,1.0,317752000,0.574,0,4419000,1235173000,,0,0,0,0,1023057000,529491000,493566000,4398772091,27697000,0,-68464000,110635000,0,42798000,-144137000,0,129036000,0,76704000,76704000,76704000,0,0,0.139,195437000,122315000,21751000,0.0,4.064,16.376,16.35,568588000,0,60.33,2.155,2.155,30856000,627240000,553421000,553421000,0,,,,,2758000,177559000,1.0,72911853,72911853,,7.59,2105337000,9643000,44154000,76378000,28.875,342420000
179,SAVE,ARQ,2015-03-31,2015-04-29,2015-03-31,2020-02-06,-2312000,1955856000,,856073000,1099783000,,14.652,-234997000,741627000,741627000,214920000,69002000,1.76,0.829,324984000,22184000,302800000,324984000,0,14863000,0,0.0,0.0,111846000,126709000,0.257,126709000,111846000,109034000,0.94,0.94,0.94,1069417000,,1069417000,4740601603,12,10.346,-67162000,-0.92,1.0,278435000,0.564,0,2812000,1052916000,,0,0,0,0,886439000,486297000,400142000,5157244603,108843000,0,-10928000,179056000,0,176005000,-234997000,0,167835000,0,69002000,69002000,69002000,0,0,0.14,169184000,109251000,13835000,0.0,4.822,20.086,20.074,442005000,0,70.66,2.596,2.596,28097000,550536000,493355000,493355000,0,,,,,1985000,153301000,1.0,72986762,72986762,,6.76,1955856000,9643000,40032000,69510000,26.797,369776000
180,LUV,MRY,2019-12-31,2019-12-31,2019-12-31,2020-02-05,-61000000,25895000000,26298750000.0,5974000000,19921000000,0.853,18.682,-1027000000,2548000000,2548000000,6933000000,2300000000,0.667,1.634,3996000000,1172000000,2824000000,3996000000,0,1219000000,0,0.013,0.7,3075000000,4294000000,0.191,4294000000,3075000000,2957000000,4.28,4.27,4.28,9832000000,9873500000.0,9832000000,30301385282,10,7.057,2960000000,5.624,1.0,15495000000,0.691,970000000,118000000,17421000000,18540000000.0,529000000,1524000000,1524000000,0,16063000000,8952000000,7111000000,28408385282,694000000,0,-1960000000,-615000000,-372000000,-2990000000,-303000000,324000000,3987000000,0,2300000000,2300000000,2300000000,0,0,0.103,12538000000,2957000000,1574000000,0.164,2.889,12.351,12.612,18374000000,0,53.98,1.267,1.267,1086000000,17945000000,22428000000,22428000000,0,0.087,0.233,0.166,0.137,0,8293000000,1.0,526276126,526276126,,42.616,24925000000,0,657000000,2364000000,47.361,-2978000000
181,LUV,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-05,20000000,26243000000,26273250000.0,5028000000,21215000000,0.836,17.195,-1922000000,1854000000,1854000000,7057000000,2465000000,0.636,1.663,3377000000,606000000,2771000000,3377000000,0,1201000000,0,0.013,0.605,3295000000,4496000000,0.205,4496000000,3295000000,3164000000,4.3,4.29,4.3,9853000000,9905500000.0,9853000000,27478010396,8,6.112,2971000000,5.185,1.0,14908000000,0.679,970000000,131000000,18891000000,19157000000.0,461000000,1835000000,1835000000,0,16390000000,7905000000,8485000000,26136010396,359000000,0,-1965000000,-342000000,-332000000,-2496000000,-2038000000,-67000000,4893000000,0,2465000000,2465000000,2465000000,0,0,0.112,11702000000,3206000000,1416000000,0.141,2.653,10.603,10.809,19525000000,0,46.48,1.19,1.213,568000000,15967000000,21965000000,21965000000,0,0.094,0.249,0.172,0.15,0,7649000000,1.0,562306592,573000000,574000000.0,38.333,25273000000,0,699000000,2427000000,44.106,-2877000000
